Khana Gana,"Thai,Chinese,Indian Restaurant","Front Circuit House, Cantonment Road, DC Er More, Rangpur 5400",01738145456,"25.7569561,89.2391746",Dhap Dc Mor,12:00,21:00,3.8,,Thai,,,,,,,,,,,,,,
Mim Fuska House,Fuska,Rangpur Govt. College Road,,"25.756101, 89.246573",Kachari Bazar,12:00,21:00,3.7,,Fuska,,,,,,,,,,,,,,
Drinks & Beverage,,Rangpur City,,"25.7550823,89.2434025",,,21:00,,,,,,,,,,,,,,,,,
Mohua,Bread & Sweets & Biriyani,"1st Floor, Cort Masjid Complex, Opposite of DC Office, City Bazar Rd, Rangpur 5400",01719094002,"25.7541399,89.2445134",Kachari Bazar,11:00,21:00,3.5,,Bangla,,,,,,,,,,,,,,
City View,Thai & Chinese,"Jahaj Company Road, Rangpur",0175788048,"25.7482833,89.2524492",Jahaj Company,12:30,21:00,3,,Chinese,,,,,,,,,,,,,,
Promise,Fast Food & Pastry Shop,"3rd Floor, chadima complex, Nearest Mithu Hotel, Station Road, Paira Chattar, Rangpur 5400",01755186115,"25.8410858,89.059582",Payra Chattar,12:00,21:00,3.5,,Fast Food,,,,,,,,,,,,,,
Juice Town,"Fast Food,Thai,Chinese","Popular Diagnostic Center, Near by, Dhaap Road, Rangpur 5400",01711982184,"25.7613044,89.2340898",Dhap Cheakpost,12:00,21:00,3,,Fast Food,,,,,,,,,,,,,,
Hotel North View,"Bangla,Thai & Chinese","Central Rd, Rangpur",01766212131,"25.7499942,89.2535086",Payra Chattar,12:30,21:00,4.2,,Chinese,,,,,,,,,,,,,,
Kitchen Express,"Fast Food, Biryani, Indian","Kerani Para, Rangpur.",,,Keranipara,12:00,21:00,4,,Thai,,,,,,,,,,,,,,
Dhaka Fast Foods & BBQ (Ath Tola Mor),Fast Food & Pastry Shop,Dhap Aat Tola Masjid,01733784812,"25.7617811,89.2345673",Dhap Cheakpost,11:00,21:00,4.2,,Fast Food,,,,,,,,,,,,,,
Mejban,Bangla,"Bangladesh Bank Mor,N517, Rangpur 5400",,"25.7604555,89.2389637",Dhap Bank mor,12:00,21:00,4,,Bangla,,,,,,,,,,,,,,
Sheikhs Dine,"Fast Food,Thai,Chinese",Beside prime Medical College,01740227966,"25.7442929,89.2200242",Prime Medical,12:30,21:00,4,,Thai,,,,,,,,,,,,,,
D Grills,Fast Food,"Lalbag, Collage Road, Rangpur",01716-07916,,Lalbag,13:00,21:00,3,,Thai,,,,,,,,,,,,,,
New Magdonals,Chinese,"Kachari Bazar,Rangpur Govt College Road",,,Kachari Bazar,16:00,21:00,3,,,,,,,,,,,,,,,,
Moubon Hotel,Bangla,"Coat Mosjid,Rangpur",052165552,,Kachari Bazar,11:00,21:00,3.2,,Bangla,,,,,,,,,,,,,,
Hazi Biryani House (Beside SA Paribahan Courier),Bangla,Infront of town hall,,,Townhall,11:00,21:00,3,,Biriyani,,,,,,,,,,,,,,
Rosogolla By Cicily,Sweet,"Jahaj Company Mor, Rangpur",01907071199,,Jahaj Company,11:00,21:00,4.2,,Sweet,,,,,,,,,,,,,,
The Kitchen,"Fast Food, Pizza, Kabab","Medical Mor, Taher Medicin, Rangpur",01737112659,,Medical Mor,11:30,21:00,4.9,,Fast Food,,,,,,,,,,,,,,
ZO CO Superstore (Mehtap Quick Bite),Fast Food,"Bangladesh Bank Mor,N517, Rangpur 5400",,,Bank mor,13:00,21:00,3.2,,Fast Food,,,,,,,,,,,,,,
Cafe De Rangpur,"Fast Food, Thai & Chinese","Dhap Cant Road, Rangpur",,,Cheakpost,11:00,21:00,3.8,,Thai,,,,,,,,,,,,,,
Dhaka Hazi Nanna Biryani (in front rammahon),Bangla,"Rammahon,Rangpur",,,Rammohon Market,11:00,21:00,3.8,,Biriyani,,,,,,,,,,,,,,
The King Chef,Chinese & Fastfood,"Kamal kachna,rangpur",,,Kamal Kachna,12:00,21:00,3.7,,Fast Food,,,,,,,,,,,,,,
Nasta la vista,"Fastfood,indian,pizza","Honumantola,rangpur",,,HonumanTola,12:30,21:00,3.8,,Thai,,,,,,,,,,,,,,
Bake Master,Fastfood,Prime college road,,,Prime Medical,12:30,21:00,3,,Fast Food,,,,,,,,,,,,,,
